Rating (1-5),Ulasan,text_clean,text_clean_stemming
1,"1st time pengalaman nginep di hotel ini. hotel bintang 5, lokasi di tengah kota surabaya. kebayangkan expektasinya kek gimana, tapi ternyata, so terrible.  1st, tas istriku hilang saat breakfast di Arumanis Resto. tasnya berisi 2 HP, 2 dompet, dan surat2 penting lainnya. saat kejadian, istriku langsung hubungi security disana, minta cek cctv. tp sayangnya, responnya luamaaaa banget. ya keburu ilang donk malingnya.  2nd, ternyata setelah usut diusut, malingnya ini bukan guest hotel. tapi dia bisa masuk resto secara mulus. padahal setau saya, tiap masuk resto (apalagi) bintang 5 nih, pasti ditanyain dari room berapa. kalopun dia org luar, harusnya bayar donk. lha malingnya koq bisa masuk gitu aja tanpa ini itu. sempet ngopi malah.  3rd, kita langsung ditemui manager in charge saat itu. tapi sayang seribu sayang, yg kita dapatkan cuma permintaan maaf doank. even kita mau laporan ke polisi, tidak satu org pun dr pihak hotel yang nemenin kita. jadi kita disuruh lapor sendiri.  4th, seminggu sudah berlalu dari kejadian. sampai detik ini, tidak ada update apapun dari pihak hotel. jadi apa gunanya kita disuruh lapor polisi saat itu?  5th, kita baru tau disaat mau check out hotel. ternyata lift hotel tidak ada pengamannya apapun. jadi siapapun bisa naik turun secara bebas. kebayangkan kan gimana tingkat securitynya hotel bintang 5 ini. di lift memang ada slot untuk masukin access card, tapi tanpa kartu pun, langsung pencet no lantai, langsung naik.",st time pengalaman menginap di hotel ini hotel bintang lokasi di tengah kota surabaya kebayangkan expektasinya kayak gimana tapi ternyata sok terrible st tas istriku hilang saat breakfast di arumanis resto tasnya berisi hp dompet dan surat penting lainnya saat kejadian istriku langsung hubungi security disana meminta cek cctv tapi sayangnya responnya luama banget iya keburu hilang dong malingnya nd ternyata setelah usut diusut malingnya ini bukan guest hotel tapi dia bisa masuk restoran secara mulus padahal setau saya tiap masuk restoran apalagi bintang nih pasti ditanyain dari room berapa kalopun dia orang luar harusnya bayar donk lah malingnya kok bisa masuk begitu saja tanpa ini itu sempat ngopi malah rd kita langsung ditemui manager ini charge saat itu tapi sayang seribu sayang yang kita dapatkan cuma permintaan maaf doank even kita mau laporan ke polisi tidak satu orang pun dari pihak hotel yang nemenin kita jadi kita disuruh lapor sendiri th seminggu sudah berlalu dari kejadian sampai detik ini tidak ada update apapun dari pihak hotel jadi apa gunanya kita disuruh lapor polisi saat itu th kita baru tau disaat mau check out hotel ternyata lift hotel tidak ada pengamannya apapun jadi siapapun bisa naik turun secara bebas kebayangkan kan bagaimana tingkat securitynya hotel bintang ini di lift memang ada slot untuk memasuki access card tapi tanpa kartu pun langsung pencet no lantai langsung naik,st time alam inap bintang kota surabaya bayang expektasinya gimana terrible st tas istri hilang arumanis tas isi hp dompet surat istri hubung security cek cctv sayang responnya luama keburu hilang maling nd usut usut maling guest mulus bintang ditanyain room bayar donk maling ngopi rd temu manager charge sayang sayang maaf even lapor polisi nemenin suruh lapor th minggu detik update suruh lapor polisi th lift kam turun bebas bayang tingkat securitynya bintang lift slot pasuk access card kartu pencet no lantai
5,"🌟 Rating: 5/5  Staycation bersama anak di Bumi Surabaya benar-benar menyenangkan. Begitu check-in, kami awalnya dapat kamar di lantai 13, tapi bathtub-nya tidak dekat jendela seperti yang kami harapkan. Setelah konfirmasi ke resepsionis, kami dibantu pindah kamar tanpa masalah—pelayanannya sangat ramah dan responsif. Kamar  Anak-anak senang sekali, apalagi setelah sarapan bisa kasih makan ikan di taman hotel. Suasana hotel sangat asri dan tenang, kamarnya luas, cocok untuk liburan keluarga. Sarapan paginya juga istimewa, banyak pilihan makanan khas Surabaya.  FYI, ada deposit Rp500.000 saat check-in, bisa pakai cash atau kartu. Secara keseluruhan, pengalaman menginap di sini sangat memuaskan. Pasti akan kembali lagi!",rating staycation bersama anak di bumi surabaya benar benar menyenangkan begitu check in kami awalnya dapat kamar di lantai tapi bathtub nya tidak dekat jendela seperti yang kami harapkan setelah konfirmasi ke resepsionis kami dibantu pindah kamar tanpa masalah pelayanannya sangat ramah dan responsif kamar anak anak senang sekali apalagi setelah sarapan bisa kasih makan ikan di taman hotel situasi hotel sangat asri dan tenang kamar luas cocok untuk liburan keluarga sarapan paginya juga istimewa banyak pilihan makanan khas surabaya fyi ada deposit rp saat check in bisa pakai cash atau kartu secara keseluruhan pengalaman menginap di sini sangat memuaskan pasti akan kembali lagi,rating staycation bumi surabaya senang lantai bathtub jendela harap konfirmasi resepsionis bantu pindah layan ramah responsif senang sarap kasih makan ikan situasi asri tenang luas cocok libur keluarga sarap pagi istimewa pilih makan khas surabaya fyi deposit cash kartu alam inap muas
4,"Kita stay di Classic Room,plusnya semua kamar di sini dapat city view cantik + bathtub di kamar mandi! Kamarnya luas & nyaman. ||Untuk restonya favoritku dari lama. Indoor dengan vibes tradisional jawa yang cozy & outdoor yang sejuk dan …",kita stay di classic room plusnya semua kamar di sini dapat city view cantik bathtub di kamar mandi kamar luas nyaman untuk restonya favoritku dari lama indoor dengan vibes tradisional jawa yang cozy outdoor yang sejuk dan,stay classic room plus city view cantik bathtub mandi luas restonya favorit indoor vibes tradisional jawa cozy outdoor sejuk
4,"Dulu saat pertama kali staycation di Bumi Surabaya tahun 2023 pasti saya beri bintang 5. Namun untuk kali ke dua ini saya beri bintang 4. Kamar yang saya tempati saluran pembuangan wastafelnya mampet sehingga kamar mandi banjir. Bersyukurnya pelayanan housekeeping bagus dan langsung dibersihkan meskipun tengah malam. Sarapannya juga tidak lengkap seperti kali pertama. Bahkan croffle yang jadi favorit saya dan suami tidak ada. Meskipun begitu lingkungan hotel yang sangat asri, pemandangan kota dari lantai atas dan kolam ikan nya masih sangat saya nikmati bersama keluarga.",dulu saat pertama kali staycation di bumi surabaya tahun pasti saya beri bintang namun untuk kali ke dua ini saya beri bintang kamar yang saya tempati saluran pembuangan wastafelnya mampet sehingga kamar mandi banjir bersyukurnya pelayanan housekeeping bagus dan langsung dibersihkan meskipun tengah malam sarapannya juga tidak lengkap seperti kali pertama bahkan croffle yang jadi favorit saya dan suami tidak ada meskipun begitu lingkungan hotel yang sangat asri pemandangan kota dari lantai atas dan kolam ikan ya masih sangat saya nikmati bersama keluarga,staycation bumi surabaya bintang bintang salur buang wastafel mampet mandi banjir syukur layan housekeeping bersih malam sarap lengkap croffle favorit suami lingkung asri pandang kota lantai ikan nikmat keluarga
4,"Kamar nya bersih, luas hanya saja desain lama. Layanan oke banget, ramah sejak masuk pintu masuk. Lokasi sangat strategis di tengah kota Surabaya.  Sekitar hotel, dr lorong pintu masuk sampai kamar aroma nya segar, semacam harum2an di Bali.  Sangat rekomnded.",kamar ya bersih luas hanya saja desain lama layanan baik banget ramah sejak masuk pintu masuk lokasi sangat strategis di tengah kota surabaya sekitar hotel dari lorong pintu masuk sampai kamar aroma ya segar semacam haruman di bali sangat rekomnded,bersih luas desain layan ramah pintu strategis kota surabaya lorong pintu aroma segar harum bal rekomnded
5,"Hotelnya bagus, asri, hijau,tenang fresh gitu. Kamarnya bersih , rapi. Breakfast nya enak sekali dgn menu yg cukup banyak. Buat refreshing setelah penat bekerja cocok sekali hotel ini.",hotel bagus asri hijau tenang fresh gitu kamar bersih rapi breakfast ya enak sekali dengan menu yang cukup banyak buat refreshing setelah penat bekerja cocok sekali hotel ini,asri hijau tenang fresh bersih rapi menu refreshing penat cocok
4,"We enjoy our staying in hotel bumi because the room are spacious and very quite. And the bathup in all room is top notch. Amenities super lengkap, ada hairdryer juga. Breakfast di resto arumanis ga perlu diragukan lagi. Menunya bervariasi, bahkan ada Indomie and ice cream. Kolam renang luas, ada jacuzzi jadi bisa berendam air hangat. Kamar ganti juga bersih. Staff sangat ramah and helpfull....thank you mbak Lelga yang sangat gercep membantu menemukan kamar kami.  Untuk check in perlu deposit sebesar 500ribu. Untuk tambahan Breakfast anak sebesar 120ribu. Nambah handuk besar 50ribu. Handuk dan sprei perlu diperbarui, beberapa sudah nampak Kumal. And tidak ada aktivitas untuk anak2, tidak ada kids club atau Playground. Tapi anak2 bisa memberi makan ikan yang ada di kolam. Makanan ikan bisa dibeli seharga 8ribu per kantong.",we enjoy our staying ini hotel bumi because the room are spacious and very quite and the bathup ini allyoucaneat room is top notch amenities super lengkap ada hairdryer juga breakfast di restoran arumanis tidak perlu diragukan lagi menunya bervariasi bahkan ada indomie and ice cream kolam renang luas ada jacuzzi jadi bisa berendam air hangat kamar ganti juga bersih staff sangat ramah and helpfull thank mbak lelga yang sangat gerak cepat membantu menemukan kamar kami untuk check ini perlu deposit sebesar ribu untuk tambahan breakfast anak sebesar ribu menambah handuk besar ribu handuk dan sprei perlu diperbarui beberapa sudah menampak kumal and tidak ada aktivitas untuk anak tidak ada kids club atau playground tapi anak anak bisa memberi makan ikan yang ada di kolam makanan ikan bisa dibeli seharga ribu per kantong,we enjoy our staying bumi because the room are spacious and very quite and the bathup allyoucaneat room is notch amenities super lengkap hairdryer arumanis ragu menu variasi indomie and ice cream renang luas jacuzzi rendam air hangat ganti bersih ramah and helpfull mbak lelga gerak cepat bantu temu deposit handuk handuk sprei kumal and aktivitas kids club playground makan ikan makan ikan beli harga kantong
5,"Kita ke Bumi Hotel untuk lunch buffet aja ada ayce dengan 3 type jenis restaurant: Indonesian Siti Inggil, Chinese Arumanis and Japanese Kizahashi. Overall menu is good. The best Japanese, sama sate2an. Rujak cingur B aja, jajanan ada juga rangin, martabak manis, leker, juga ada aneka wedang, es campur, es krim, ruangan tersedia indoor dan outdoor . Tersedia juga pasta, waffle, roti2.  Konsep outdoor seperti Bali vibes dan tradisional. Konsep bagus , cocok untuk lunch or dinner dengan family.",kita ke bumi hotel untuk lunch buffet saja ada ayce dengan type jenis restaurant indonesian siti inggil chinese arumanis and japanese kizahashi overall menu is good the best japanese sama satean rujak cingur b aja jajanan ada juga rangin martabak manis leker juga ada aneka wedang es campur es krim ruangan tersedia indoor dan outdoor tersedia juga pasta waffle roti konsep outdoor seperti bali vibes dan tradisional konsep bagus cocok untuk lunch orang dinner dengan family,bumi lunch buffet ayce type jenis restaurant indonesian siti inggil chinese arumanis and japanese kizahashi overall menu is the japanese sate rujak cingur jajan rangin martabak manis leker aneka wedang es campur es krim ruang sedia indoor outdoor sedia pasta waffle roti konsep outdoor bal vibes tradisional konsep cocok lunch dinner family
5,"Lokasi hotel strategis, ada di tengah kota dekat dengan Mall Tunjungan Plaza. Nuansa hotelnya sangat Indonesia, rindang banyak pepohonan, juga banyak ornamen bali di berbagai sudut hotel, dan poin plusnya wangi sereh saya suka ❤️ ambience nya seperti menginap di resort di Bali. Roomnya spacious dan bersih. Makanan enak dan pilihannya cukup banyak. Menginap 3 hari disini belum selesai nyobain semua menunya saking banyaknya pilihan menu sarapan. Di lobby ada cafe dan coffeenya juga enak. Cm memang agak pricey sekitar 90an/cup. Fasilitas hotel cukup lengkap, ada tempat gym yg disediakan di lantai 3. Gym luas dan alatnya banyak tp saat saya disana lg ada beberapa perbaikan seperti AC dan bocor tp tidak menganggu sama sekali. Sangat enjoy menginap di hotel Bumi. Semua pelayanan ramah dan memuaskan. Great job!",lokasi hotel strategis ada di tengah kota dekat dengan mall tunjungan plaza nuansa hotel sangat indonesia rindang banyak pepohonan juga banyak ornamen bali di berbagai sudut hotel dan poin plusnya wangi sereh saya suka ambience ya seperti menginap di resort di bali roomnya spacious dan bersih makanan enak dan pilihannya cukup banyak menginap hari di sini belum selesai mencoba semua menunya saking banyaknya pilihan menu sarapan di lobby ada cafe dan coffeenya juga enak cuma memang agak pricey sekitar an cup fasilitas hotel cukup lengkap ada tempat gym yang disediakan di lantai gym luas dan alatnya banyak tapi saat saya disana lagi ada beberapa perbaikan seperti ac dan bocor tapi tidak menganggu sama sekali sangat enjoy menginap di hotel bumi semua pelayanan ramah dan memuaskan great job,strategis kota mall tunjung plaza nuansa indonesia rindang pohon ornamen bal sudut poin plus wangi sereh suka ambience inap resort bal roomnya spacious bersih makan pilih inap selesai menu saking pilih menu sarap lobby cafe coffeenya pricey an cup lengkap gym sedia lantai gym luas alat ac bocor menganggu enjoy inap bumi layan ramah muas great job
1,"Dulu hotel ini bagus, tapi tidak utk skrg Saat renang, tas kami diatas meja pinggir kolam hilang 1. Saya sudah tanya ke penjaga kolam responnya cuek ""gak tau"". Akhirnya lapor ke reception, dalam 5 menit tas dikembalikan, ternyata diambil ibu2 ini namanya ely, petugas senior.  Pas jam 12 tepat juga kami disuruh keluar dari kolam renang dg alasan sudah check out, dilarang berenang.  Padahal kami hanya masih nunggu jemputan jam 14.00, sambil menghabiskan waktu di kolam.  Apa.sebaiknya pegawai2 senior yg kolot ini dipensiunkan ?",dulu hotel ini bagus tapi tidak untuk sekarang saat renang tas kami diatas meja pinggir kolam hilang saya sudah tanya ke penjaga kolam responnya cuek gak tau akhirnya lapor ke reception dalam menit tas dikembalikan ternyata diambil ibu ibu ini namanya ely petugas senior ketika jam tepat juga kami disuruh keluar dari kolam renang dengan alasan sudah check out dilarang berenang padahal kami hanya masih menunggu jemputan jam sambil menghabiskan waktu di kolam apa sebaiknya pegawai senior yang kolot ini dipensiunkan,renang tas meja pinggir hilang jaga responnya cuek lapor reception menit tas ambil ely tugas senior suruh renang alas larang renang tunggu jemput habis senior kolot pensiun
