Reviewer,Rating (1-5),Ulasan
Aditya Budianto,1,"1st time pengalaman nginep di hotel ini. hotel bintang 5, lokasi di tengah kota surabaya. kebayangkan expektasinya kek gimana, tapi ternyata, so terrible.  1st, tas istriku hilang saat breakfast di Arumanis Resto. tasnya berisi 2 HP, 2 dompet, dan surat2 penting lainnya. saat kejadian, istriku langsung hubungi security disana, minta cek cctv. tp sayangnya, responnya luamaaaa banget. ya keburu ilang donk malingnya.  2nd, ternyata setelah usut diusut, malingnya ini bukan guest hotel. tapi dia bisa masuk resto secara mulus. padahal setau saya, tiap masuk resto (apalagi) bintang 5 nih, pasti ditanyain dari room berapa. kalopun dia org luar, harusnya bayar donk. lha malingnya koq bisa masuk gitu aja tanpa ini itu. sempet ngopi malah.  3rd, kita langsung ditemui manager in charge saat itu. tapi sayang seribu sayang, yg kita dapatkan cuma permintaan maaf doank. even kita mau laporan ke polisi, tidak satu org pun dr pihak hotel yang nemenin kita. jadi kita disuruh lapor sendiri.  4th, seminggu sudah berlalu dari kejadian. sampai detik ini, tidak ada update apapun dari pihak hotel. jadi apa gunanya kita disuruh lapor polisi saat itu?  5th, kita baru tau disaat mau check out hotel. ternyata lift hotel tidak ada pengamannya apapun. jadi siapapun bisa naik turun secara bebas. kebayangkan kan gimana tingkat securitynya hotel bintang 5 ini. di lift memang ada slot untuk masukin access card, tapi tanpa kartu pun, langsung pencet no lantai, langsung naik."
Lala Afrian,5,"🌟 Rating: 5/5  Staycation bersama anak di Bumi Surabaya benar-benar menyenangkan. Begitu check-in, kami awalnya dapat kamar di lantai 13, tapi bathtub-nya tidak dekat jendela seperti yang kami harapkan. Setelah konfirmasi ke resepsionis, kami dibantu pindah kamar tanpa masalah—pelayanannya sangat ramah dan responsif. Kamar  Anak-anak senang sekali, apalagi setelah sarapan bisa kasih makan ikan di taman hotel. Suasana hotel sangat asri dan tenang, kamarnya luas, cocok untuk liburan keluarga. Sarapan paginya juga istimewa, banyak pilihan makanan khas Surabaya.  FYI, ada deposit Rp500.000 saat check-in, bisa pakai cash atau kartu. Secara keseluruhan, pengalaman menginap di sini sangat memuaskan. Pasti akan kembali lagi!"
Jennypuspita,4,"Kita stay di Classic Room,plusnya semua kamar di sini dapat city view cantik + bathtub di kamar mandi! Kamarnya luas & nyaman. ||Untuk restonya favoritku dari lama. Indoor dengan vibes tradisional jawa yang cozy & outdoor yang sejuk dan …"
siti khamidah,4,"Dulu saat pertama kali staycation di Bumi Surabaya tahun 2023 pasti saya beri bintang 5. Namun untuk kali ke dua ini saya beri bintang 4. Kamar yang saya tempati saluran pembuangan wastafelnya mampet sehingga kamar mandi banjir. Bersyukurnya pelayanan housekeeping bagus dan langsung dibersihkan meskipun tengah malam. Sarapannya juga tidak lengkap seperti kali pertama. Bahkan croffle yang jadi favorit saya dan suami tidak ada. Meskipun begitu lingkungan hotel yang sangat asri, pemandangan kota dari lantai atas dan kolam ikan nya masih sangat saya nikmati bersama keluarga."
Wahyu Abdullah,4,"Kamar nya bersih, luas hanya saja desain lama. Layanan oke banget, ramah sejak masuk pintu masuk. Lokasi sangat strategis di tengah kota Surabaya.  Sekitar hotel, dr lorong pintu masuk sampai kamar aroma nya segar, semacam harum2an di Bali.  Sangat rekomnded."
debora christania,5,"Hotelnya bagus, asri, hijau,tenang fresh gitu. Kamarnya bersih , rapi. Breakfast nya enak sekali dgn menu yg cukup banyak. Buat refreshing setelah penat bekerja cocok sekali hotel ini."
Happy 2 girls,4,"We enjoy our staying in hotel bumi because the room are spacious and very quite. And the bathup in all room is top notch. Amenities super lengkap, ada hairdryer juga. Breakfast di resto arumanis ga perlu diragukan lagi. Menunya bervariasi, bahkan ada Indomie and ice cream. Kolam renang luas, ada jacuzzi jadi bisa berendam air hangat. Kamar ganti juga bersih. Staff sangat ramah and helpfull....thank you mbak Lelga yang sangat gercep membantu menemukan kamar kami.  Untuk check in perlu deposit sebesar 500ribu. Untuk tambahan Breakfast anak sebesar 120ribu. Nambah handuk besar 50ribu. Handuk dan sprei perlu diperbarui, beberapa sudah nampak Kumal. And tidak ada aktivitas untuk anak2, tidak ada kids club atau Playground. Tapi anak2 bisa memberi makan ikan yang ada di kolam. Makanan ikan bisa dibeli seharga 8ribu per kantong."
meiliana meiliana,5,"Kita ke Bumi Hotel untuk lunch buffet aja ada ayce dengan 3 type jenis restaurant: Indonesian Siti Inggil, Chinese Arumanis and Japanese Kizahashi. Overall menu is good. The best Japanese, sama sate2an. Rujak cingur B aja, jajanan ada juga rangin, martabak manis, leker, juga ada aneka wedang, es campur, es krim, ruangan tersedia indoor dan outdoor . Tersedia juga pasta, waffle, roti2.  Konsep outdoor seperti Bali vibes dan tradisional. Konsep bagus , cocok untuk lunch or dinner dengan family."
Astri Lestari,5,"Lokasi hotel strategis, ada di tengah kota dekat dengan Mall Tunjungan Plaza. Nuansa hotelnya sangat Indonesia, rindang banyak pepohonan, juga banyak ornamen bali di berbagai sudut hotel, dan poin plusnya wangi sereh saya suka ❤️ ambience nya seperti menginap di resort di Bali. Roomnya spacious dan bersih. Makanan enak dan pilihannya cukup banyak. Menginap 3 hari disini belum selesai nyobain semua menunya saking banyaknya pilihan menu sarapan. Di lobby ada cafe dan coffeenya juga enak. Cm memang agak pricey sekitar 90an/cup. Fasilitas hotel cukup lengkap, ada tempat gym yg disediakan di lantai 3. Gym luas dan alatnya banyak tp saat saya disana lg ada beberapa perbaikan seperti AC dan bocor tp tidak menganggu sama sekali. Sangat enjoy menginap di hotel Bumi. Semua pelayanan ramah dan memuaskan. Great job!"
Fandi AFANDI,1,"Dulu hotel ini bagus, tapi tidak utk skrg Saat renang, tas kami diatas meja pinggir kolam hilang 1. Saya sudah tanya ke penjaga kolam responnya cuek ""gak tau"". Akhirnya lapor ke reception, dalam 5 menit tas dikembalikan, ternyata diambil ibu2 ini namanya ely, petugas senior.  Pas jam 12 tepat juga kami disuruh keluar dari kolam renang dg alasan sudah check out, dilarang berenang.  Padahal kami hanya masih nunggu jemputan jam 14.00, sambil menghabiskan waktu di kolam.  Apa.sebaiknya pegawai2 senior yg kolot ini dipensiunkan ?"
